"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-14.9421,52.7952,44.8262,16.9338,36.8572,-2.9886,-29.8841,10.9576,-26.8955,2.9886,18.9266,-36.8563,-8.9649,-18.9266,
-4.0839,52.6151,42.1357,2.9685,20.5458,-0.81657,-20.1221,15.2805,-32.2549,4.8011,17.791,-24.6842,-14.4042,-21.7755,
-14.298,45.9722,25.5076,-0.69572,33.4131,-7.2423,-8.4547,15.858,-43.7674,5.0114,11.2447,-12.7439,0.56007,-18.9746,
-14.4369,40.2252,15.6645,-3.6426,45.5083,-2.8242,-7.9483,12.9138,-42.1372,1.7221,7.5814,-12.9752,13.8204,-14.8475,
-7.594,50.7615,26.6785,-2.4277,52.0868,1.3302,-11.4555,19.1125,-34.6281,-1.3693,21.2265,-6.22,10.999,-3.9955,
-21.2383,38.253,18.6027,1.2036,34.8616,-12.8496,-19.2351,7.5061,-32.0525,0.20665,26.2738,-8.3374,-1.1165,-6.2464,
-34.064,21.8579,3.3865,2.1277,18.6699,-17.4026,-28.0422,-1.9096,-31.1257,10.1555,12.7434,-9.8294,-3.0418,-11.8484,
-29.2214,33.65,-1.6428,-2.9803,3.4497,-2.2585,-27.3565,3.1854,-34.2385,12.5348,8.9912,3.7107,-1.8634,2.8087,
-31.4517,32.6269,9.4134,-3.7974,-4.7623,0.71088,-12.7648,-2.982,-25.2111,-0.1708,5.4631,4.4839,-11.7123,11.6051,
-16.1178,27.1832,15.3233,5.8938,9.6234,4.1543,-5.5242,-0.3129,-19.2165,-3.6466,6.6296,-0.26804,-5.5317,-0.54628,
-1.0507,29.5367,9.4225,-4.4216,23.146,12.8709,-19.2928,8.6707,-32.1635,-4.4247,-3.7299,-8.2209,3.766,-14.6135,
3.8389,36.7294,11.8458,-12.1253,35.8573,2.1369,-32.2352,1.1783,-44.3337,-2.1665,-6.4947,-18.6853,3.54,-3.6221,
6.0992,36.0204,18.6061,2.7023,41.2129,-12.0913,-16.2011,-1.383,-27.5737,-1.5385,-0.62572,-24.0384,-2.1516,6.059,
19.8333,32.3639,16.9913,16.6401,52.8401,-25.4658,-1.129,4.1788,-11.8193,-9.9136,-5.0711,-31.0634,-1.5241,-8.4046,
32.7433,39.3874,22.9454,21.3094,35.5697,-38.0379,10.8922,3.9276,-5.1329,-11.311,-3.7705,-42.1495,-2.429,-22.0003,
44.8787,40.0123,25.5527,21.0272,19.3355,-29.3165,5.2578,-0.29211,6.1322,-8.6401,7.4129,-47.59,-4.2755,-19.8742,
41.2247,28.6472,18.0428,20.7619,32.2754,-21.5808,-1.0344,-5.2554,9.7492,-10.114,3.98,-39.7537,0.96184,-21.6699,
45.7243,21.948,27.9178,21.5089,44.4389,-29.2508,10.9811,-6.9319,9.1643,-6.5185,-3.2319,-26.4109,2.8959,-20.3697,
52.9421,14.6544,34.2122,17.2303,27.6725,-33.4725,24.4223,-10.5009,12.5994,-0.15068,-11.0065,-20.8413,2.7226,-13.1708,
37.8116,12.7787,18.0595,18.1877,25.5133,-34.4523,15.83,-8.8745,0.88535,0.85472,-23.2959,-16.6027,1.5629,-16.3646,
33.5511,16.9924,15.1375,16.1006,38.0825,-29.3975,12.8885,-4.3576,-7.1368,1.7993,-21.8982,-7.6375,-8.4926,-1.4375,
43.4915,7.007,21.2023,1.0346,21.6975,-18.6678,25.0645,-18.0423,-4.7168,-3.289,-7.6349,-5.1875,-6.9871,12.7488,
26.782,0.11241,6.4819,-13.1275,6.2957,-8.0849,9.4606,-24.4308,-15.8893,-2.5937,0.29419,2.5948,7.5321,17.3084,
11.0751,-0.39275,-8.007,-13.0276,20.018,-18.059,-5.207,-16.4893,-12.4448,10.0138,2.7667,6.922,0.94962,11.7879,
1.2554,-2.8594,-18.3294,-6.7672,7.3614,-21.4584,-18.9946,-7.0335,-3.2317,11.9031,10.0713,8.001,-13.2074,9.5863,
15.2801,-4.6796,-8.2648,-11.3415,-7.1803,-13.1978,-5.937,-7.6074,-11.0067,12.1848,4.4866,14.494,-6.7814,13.9915,
16.6997,3.0718,4.683,-10.1626,-8.089,-4.9344,-10.0637,0.31962,-10.8438,22.9097,-5.2458,18.1073,3.0888,16.6381,
8.7251,10.8569,-7.551,-5.5689,2.3575,-13.6037,-13.4439,4.2854,-24.2932,21.5347,-4.9306,13.0359,-11.0422,3.6868,
20.653,8.7107,-5.6041,-3.74,16.3161,-23.2471,-3.1744,-1.451,-30.1523,10.7798,4.828,11.7558,-17.8507,0.97495,
