"AF3","AF4","F3","F4","F7","F8","FC5","FC6","O1","O2","P7","P8","T7","T8",
-17.13,42.3221,-27.207,5.0381,-10.0761,59.4521,-45.3444,-3.0232,6.0464,3.0232,43.3295,31.2376,-17.13,-7.0538,
-13.603,46.8565,-18.6411,6.5501,-25.0761,51.8955,-43.8333,-5.5418,-4.5343,10.5808,45.8491,27.7107,-13.603,4.5343,
-9.5729,61.8565,-12.5961,13.6035,-16.6267,63.9869,-58.8333,8.5655,-6.5497,-2.519,44.8412,24.688,-10.5803,2.519,
-11.084,55.4219,-10.0766,11.084,-1.6267,55.4219,-47.3597,-2.0153,8.4503,-17.519,34.2604,9.688,-25.1917,-12.481,
-7.0538,52.3992,4.9234,21.1615,-1.0074,44.337,-32.3597,-9.0687,23.4503,-12.0919,40.3063,0,-13.0993,-5.0381,
-21.1611,47.3597,3.0227,14.1072,-16.0074,37.2836,-25.1917,-2.0153,21.1611,-22.1685,43.3291,2.0153,-3.0227,-7.0534,
-20.6569,43.8333,-11.9773,4.5343,-15.6188,48.8713,-40.1917,12.9847,10.5808,-18.642,51.8945,17.0153,-4.5343,-4.5343,
-26.7023,42.8258,-15.6188,-0.50371,-21.6643,46.8565,-45.8481,12.5966,0.50371,-17.6337,36.8945,32.0153,-19.5343,2.5195,
-21.6653,51.8945,-5.5418,2.5195,-21.6653,54.9177,-34.7646,9.5724,-2.5195,-31.7414,23.6801,42.8258,-21.6653,7.5576,
-8.565,47.8639,-3.5269,2.5195,-12.5956,58.9484,-37.7878,14.6114,-2.5195,-41.8184,22.6727,27.8258,-23.6801,5.5418,
-1.5116,39.8031,-7.5571,6.5497,-27.5956,49.8792,-40.8105,4.5348,-10.5803,-39.8021,21.6648,12.8258,-29.726,1.5116,
5.0385,48.3681,-5.0385,14.1072,-37.2836,55.4219,-34.2604,-3.0227,-5.0385,-34.2604,28.2149,10.0766,-21.1611,3.0227,
8.0613,49.376,-6.0455,16.1225,-22.2836,53.4066,-28.2144,-4.0306,1.0074,-42.3221,24.1838,-1.0074,-26.1996,1.0074,
5.5422,46.856,-6.5497,11.5877,-10.5813,44.8412,-34.7651,-2.519,2.519,-46.857,19.649,-3.5274,-22.6732,4.5339,
2.0153,43.3291,-9.0692,2.0153,-6.0459,44.3374,-33.253,-11.084,-2.0153,-34.2604,23.1759,7.0534,-14.1072,6.0459,
10.0766,38.292,-11.084,4.0311,-12.0914,43.33,-18.253,-21.1611,-2.0153,-24.1833,21.1611,4.0311,-25.1917,2.0153,
12.0924,38.292,-9.0682,2.0153,-21.1611,40.3068,-21.1611,-16.1221,-2.0153,-33.253,16.123,9.0692,-24.1833,12.0924,
2.519,38.7957,-7.5571,3.5274,-6.1611,39.8031,-36.1611,-4.5339,-5.5422,-35.7715,21.6648,23.6806,-9.5729,23.6806,
-6.046,36.2762,-7.0534,5.0385,6.0459,37.2836,-39.2984,-9.0692,-5.0385,-29.2223,30.2297,20.1536,-11.084,17.1304,
-1.0079,39.2984,-2.0153,1.0079,-6.046,43.3291,-24.2984,-8.0617,3.0227,-28.2149,37.2836,18.1378,-10.0766,15.1146,
0.50371,40.81,-4.5343,-1.5121,1.5111,53.9094,-19.6495,-0.50371,-4.5343,-43.2149,30.7339,20.6569,-8.565,18.642,
